true,predicted,count,share_of_errors,is_case_pair
h,z,1,0.0005,0
a,C,1,0.0005,0
o,S,1,0.0005,0
G,a,1,0.0005,0
A,l,1,0.0005,0
B,l,1,0.0005,0
C,B,1,0.0005,0
M,h,1,0.0005,0
A,b,1,0.0005,0
L,c,1,0.0005,0
g,s,1,0.0005,0
P,M,1,0.0005,0
p,R,1,0.0005,0
N,U,1,0.0005,0
m,B,1,0.0005,0
I,i,1,0.0005,1
j,N,1,0.0005,0
P,T,1,0.0005,0
Y,T,1,0.0005,0
Z,l,1,0.0005,0
n,o,1,0.0005,0
i,y,1,0.0005,0
z,l,1,0.0005,0
Z,J,1,0.0005,0
z,h,1,0.0005,0
h,b,1,0.0005,0
h,P,1,0.0005,0
